time;scale
0;0.848842308
1;0.839408212
2;0.829974116
3;0.814733879
4;0.799493642
5;0.797661985
6;0.795830328
7;0.793036874
8;0.790243419
9;0.787973296
10;0.785703173
11;0.773355399
12;0.761007624
13;0.75536414
14;0.749720655
15;0.742097
16;0.734473345
17;0.737238511
18;0.740003677
19;0.744812662
20;0.749621646
21;0.767096647
22;0.784571647
23;0.798843015
24;0.813114383
25;0.841989505
26;0.870864627
27;0.888891246
28;0.906917865
29;0.925637544
30;0.944357223
31;0.953176052
32;0.96199488
33;0.964936847
34;0.967878814
35;0.9675535
36;0.967228186
37;0.964151851
38;0.961075515
39;0.957843595
40;0.954611675
41;0.950432102
42;0.946252528
43;0.943579299
44;0.940906069
45;0.940601972
46;0.940297874
47;0.943331778
48;0.946365681
49;0.942985248
50;0.939604815
51;0.941259671
52;0.942914527
53;0.935305017
54;0.927695506
55;0.922730937
56;0.917766368
57;0.910149786
58;0.902533203
59;0.893198116
60;0.883863029
61;0.879520799
62;0.875178569
63;0.870199856
64;0.865221143
65;0.861982151
66;0.858743158
67;0.857088302
68;0.855433445
69;0.856748844
70;0.858064242
71;0.866175867
72;0.874287492
73;0.891111866
74;0.907936239
75;0.934399797
76;0.960863354
77;0.980431677
78;1
79;0.993274494
80;0.986548988
81;0.96782931
82;0.949109631
83;0.933551152
84;0.917992673
85;0.904527517
86;0.891062361
87;0.880935206
88;0.870808051
89;0.874047044
90;0.877286036
91;0.896323956
92;0.915361876
93;0.909881049
94;0.904400221
